id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
7as88HhLbDLgobaSbJrVBs,Ceux qui rêvent,Pomme,118386,False,65,0.432,0.419,8,-8.018,0,0.0346,0.869,7.94e-05,0.103,0.658,133.713,4,"french indie pop,french pop,nouvelle chanson francaise"
3NakEPSaVKsqqimJW66xCc,grandiose,Pomme,195280,False,54,0.635,0.412,11,-12.626,1,0.0356,0.902,0.0436,0.106,0.238,117.989,4,"french indie pop,french pop,nouvelle chanson francaise"
4SKr92Xfu1wUKoU9pC9FcP,une minute,Pomme,248693,False,51,0.636,0.466,1,-12.275,0,0.0307,0.771,0.263,0.112,0.215,109.986,3,"french indie pop,french pop,nouvelle chanson francaise"
7FMDhuPk4KiG2Y1DV7y56c,je sais pas danser,Pomme,138746,False,58,0.633,0.365,6,-13.264,0,0.0317,0.867,0.0995,0.11,0.113,110.663,4,"french indie pop,french pop,nouvelle chanson francaise"
6etCtKYL3fqUFHETBufdZo,Mi Amigo Luis,Rawayana,393700,True,44,0.741,0.615,10,-7.714,0,0.16,0.466,0.00224,0.128,0.669,85.02,4,"latin alternative,reggae en espanol,venezuelan hip hop,venezuelan rock"
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,242013,True,100,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4,"alt z,pop,post-teen pop"
1tF1J2fK1F9iQ8UUD1Iai5,Kill the Director,The Wombats,161560,False,66,0.41,0.858,1,-5.295,0,0.0485,0.00347,0.0,0.0897,0.962,161.487,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock"
0VD69ricQ3Flm3apWr4FQS,Techno Fan,The Wombats,239200,False,51,0.511,0.934,2,-5.504,1,0.139,0.00131,0.0,0.365,0.541,141.95,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock"
4GxWee692irccH1QOmRRLl,Turn,The Wombats,207679,True,51,0.531,0.847,1,-3.907,1,0.0529,0.00743,0.0,0.0916,0.38,105.03,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock"
1tTV7mRV9uB2Nr9VcwkuFX,Greek Tragedy,The Wombats,209557,False,68,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01e-06,0.21,0.452,93.24,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock"
7v9Ne4758aGFfFc5avh89h,Let's Dance to Joy Division,The Wombats,191293,False,67,0.397,0.839,4,-6.674,1,0.102,0.00125,0.0,0.576,0.764,116.947,4,"indie rock,liverpool indie,modern alternative rock,modern rock,rock"
48n0Or9AmRA0uEeyX8Ycuc,Panique,Juniore,211986,False,44,0.523,0.846,7,-6.284,1,0.0442,0.000176,0.0246,0.129,0.335,149.903,4,"french indie pop,french indietronica,french psychedelic"
4oHDZV4ySUYyiUx5fl6ZTG,Tout (sinon rien),Juniore,214440,False,33,0.396,0.921,1,-4.412,0,0.085,0.0342,0.818,0.164,0.449,162.079,4,"french indie pop,french indietronica,french psychedelic"
56Cf0t6EUIu7bYNIvVvEpE,Ah bah d’accord,Juniore,219186,False,44,0.558,0.911,9,-5.422,1,0.0389,0.0073,0.921,0.161,0.888,140.008,4,"french indie pop,french indietronica,french psychedelic"
6b2oQwSGFkzsMtQruIWm2p,Creep,Radiohead,238640,True,39,0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
2nTsKOXIVGDf2iPeVQO2Gm,Paranoid Android,Radiohead,387213,False,24,0.252,0.849,5,-6.501,1,0.0581,0.0377,0.00592,0.0545,0.194,163.704,4,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
0QwQbO7G7hDe9uzU1iMzTf,Exit Music (For a Film),Radiohead,267186,False,0,0.293,0.276,7,-11.353,1,0.0351,0.229,0.119,0.167,0.196,121.603,4,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
6tw1H1WMqRPr0eE7OSAxPx,La gran ola,Delafé,347050,False,48,0.578,0.722,7,-9.27,1,0.0616,0.49,0.067,0.111,0.0639,92.971,4,spanish modern rock
740zSgBv6PHOGAw04Ta2J2,Heard Somebody Whistle,Jay-Jay Johanson,183880,False,52,0.704,0.668,6,-10.795,1,0.129,0.538,0.137,0.0849,0.784,111.145,4,"electronica,swedish electropop,swedish singer-songwriter,trip hop"
5Cfz0DCrcFpISyvDHBWy9f,Les rues de Paris,Nicolas Godin,149200,False,44,0.447,0.204,1,-11.748,0,0.0266,0.988,0.799,0.125,0.331,83.969,1,electronica
0njOsb3y8TnwIJC7GnlWwD,Todo Cambia,Mercedes Sosa,284680,False,57,0.513,0.168,0,-13.937,1,0.0351,0.785,0.0,0.222,0.666,115.647,3,"cantautor,folclore tucumano,folklore argentino,nueva cancion,rock en espanol,rock nacional,trova"
1XcanVxFB7W7jhi8QwrOvD,Gracias A La Vida,Mercedes Sosa,264040,False,0,0.599,0.119,10,-15.073,0,0.0506,0.98,0.0,0.0888,0.348,109.15,3,"cantautor,folclore tucumano,folklore argentino,nueva cancion,rock en espanol,rock nacional,trova"
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,326933,True,85,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4,"atl hip hop,hip hop,pop rap,rap"
